"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"CAL_cluster_brake_switch_max_speed_ips_unknown","400088c0","Data Label","Global","User Defined","3","0"
"CAL_wheelspeed_threshold_unknown","400088d8","Data Label","Global","User Defined","1","0"
"CAL_tps_request_unknown","400088d9","Data Label","Global","User Defined","2","0"
"CAL_cruise_brake_timer???_default","400088de","Data Label","Global","User Defined","1","0"
"CAL_knock_agc_scaling_threshold","400088e0","Data Label","Global","User Defined","3","0"
"CAL_knock_mode","400088e2","Data Label","Global","User Defined","6","0"
"CAL_launch_enable_untested","400088e3","Data Label","Global","User Defined","1","0"
"CAL_vvt_low_load_disable","400088e5","Data Label","Global","User Defined","1","0"
"CAL_obd_ii_diag_unknown","400088e6","Data Label","Global","User Defined","5","0"
"CAL_vvt_low_load_map_enable_temp","400088e7","Data Label","Global","User Defined","1","0"
"CAL_tpssmooth_accel_pedal_modes_enable","400088e9","Data Label","Global","User Defined","2","0"
"CAL_cluster_oil_pressure_warning_light_mode","400088ea","Data Label","Global","User Defined","12","0"
"CAL_tpssmooth_pedalmap_low_gear_threshold","400088eb","Data Label","Global","User Defined","4","0"
"CAL_ecu_flexcan_config_unknown","400088ec","Data Label","Global","User Defined","18","0"
"CAL_tpssmooth_parking_threshold_tps","400088ed","Data Label","Global","User Defined","1","0"
"CAL_tpssmooth_parking_threshold_carspeed","400088ee","Data Label","Global","User Defined","1","0"
"CAL_tpssmooth_parking_threshold_gear","400088ef","Data Label","Global","User Defined","1","0"
"CAL_revlimit_startup_delay","400088f0","Data Label","Global","User Defined","1","0"
"CAL_revlimit_coolant_coldstart_threshold","400088f1","Data Label","Global","User Defined","2","0"
"CAL_launch_enable_steering_max","40008915","Data Label","Global","User Defined","3","0"
"CAL_launch_enable_carspeed","40008916","Data Label","Global","User Defined","2","1"
"CAL_launch_stationary_wait_time","40008918","Data Label","Global","User Defined","1","0"
"CAL_launch_enable_tps_margin","4000891a","Data Label","Global","User Defined","2","0"
"CAL_launch_activate_timer","4000891b","Data Label","Global","User Defined","1","0"
"CAL_launch_activate_tps_threshold","4000891c","Data Label","Global","User Defined","1","0"
"CAL_vvt_low_load_ips_enable","4000891e","Data Label","Global","User Defined","2","0"
"CAL_ecu_rpm_600","40008921","Data Label","Global","User Defined","2","0"
"CAL_revlimit_enforce_engine_start_delay???","40008923","Data Label","Global","User Defined","1","0"
"CAL_ecu_rpm_5250","40008928","Data Label","Global","User Defined","2","0"
"CAL_exhaust_flap_load_threshold_open","4000892a","Data Label","Global","User Defined","1","0"
"CAL_exhaust_flap_load_threshold_close","4000892b","Data Label","Global","User Defined","1","0"
"CAL_torque_hysteresis_threshold1","4000892c","Data Label","Global","User Defined","2","0"
"CAL_tpssmooth_parking_clutch_threshold","4000892d","Data Label","Global","User Defined","2","0"
"CAL_lfb_timer_entry","4000892e","Data Label","Global","User Defined","5","0"
"CAL_lfb_timer_hold","4000892f","Data Label","Global","User Defined","3","0"
"CAL_lfb_tps_max","40008931","Data Label","Global","User Defined","1","0"
