"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"eQADC_compute_fixed_point_linearization","00041408","Function","Global","User Defined","1","0"
"eqadc_fisr","fff80070","Data Label","Global","User Defined","17","5"
"eqadc_idcr","fff80060","Data Label","Global","User Defined","2","5"
"EQADC_RFPR0","fff80030","Data Label","Global","User Defined","5","10"
"esci_a","fffb0000","Data Label","Global","User Defined","16","5"
"esci_a_buffer","40008128","Data Label","Global","User Defined","3","0"
"esci_a_buffer_len","400027c3","Data Label","Global","User Defined","3","0"
"eSCI_A_read_interrupt","000be2fc","Function","Global","User Defined","1","0"
"eSCI_A_read_unknown_interrupt","000be13c","Function","Global","User Defined","1","0"
"eSCI_A_read_unknown_interrupt2","000be26c","Function","Global","User Defined","1","0"
"esci_a_tx","000be4bc","Function","Global","User Defined","1","0"
"esci_circular_buffer_dequeue","000be0d8","Function","Global","User Defined","2","0"
"esci_message_receive_validate","000be320","Function","Global","User Defined","1","0"
"esci_seq_number","400027c2","Data Label","Global","User Defined","3","0"
"esci_tx_unknown","000be1b8","Function","Global","User Defined","1","0"
"esp_active_status","40002705","Data Label","Global","User Defined","6","0"
"estimate_required_injector_flow","000ce330","Function","Global","User Defined","1","0"
"etb_initialization_state","40002650","Data Label","Global","User Defined","20","0"
"eTPU_base_unknown","40001b60","Data Label","Global","User Defined","4","0"
"etpu_base_unknown2","40001b68","Data Label","Global","User Defined","13","0"
"eTPU_calculate_and_set_channel_value","00054510","Function","Global","User Defined","6","0"
"ETPU_CDCR","c3fc0004","Data Label","Global","User Defined","0","0"
"eTPU_channel_to_address","000423dc","Function","Global","User Defined","8","0"
"eTPU_crank_angle_speed_scaling","40001958","Data Label","Global","User Defined","3","0"
"etpu_elapsed_max_captured_ticks","4000187c","Data Label","Global","User Defined","4","0"
"etpu_elapsed_min_ticks","40001878","Data Label","Global","User Defined","5","0"
"eTPU_freq","40001b78","Data Label","Global","User Defined","3","0"
"etpu_init_channel_mode6","00053f3c","Function","Global","User Defined","1","0"
"eTPU_init_pwm_channel","000543b4","Function","Global","User Defined","6","0"
"ETPU_MCR","c3fc0000","Data Label","Global","User Defined","1","0"
"etpu_mcr_addr","40001b70","Data Label","Global","User Defined","203","0"
"eTPU_period","40001b80","Data Label","Global","User Defined","5","0"
"eTPU_period2","40001b58","Data Label","Global","User Defined","4","0"
"eTPU_read_24bit","000424b4","Function","Global","User Defined","13","0"
"eTPU_read_24bit_crank_trigger?","00042520","Function","Global","User Defined","5","0"
"eTPU_read_8bit","000424e8","Function","Global","User Defined","10","0"
"eTPU_read_batch_unknown","00054574","Function","Global","User Defined","1","0"
"ETPU_scm","c3fd0000","Data Label","Global","User Defined","1","0"
"ETPU_sdm_pse_mirror","c3fcc000","Data Label","Global","User Defined","1","0"
"eTPU_set_enable_bit","00042428","Function","Global","User Defined","1","0"
"ETPU_shared_ram","c3fc8000","Data Label","Global","User Defined","1","1"
"eTPU_status_flag","40001b94","Data Label","Global","User Defined","2","0"
"etpu_timestamp_prev_array","40003108","Data Label","Global","User Defined","10","11"
"eTPU_update_period_and_frequency","00054628","Function","Global","User Defined","1","0"
"eTPU_write_32bit","00042484","Function","Global","User Defined","10","0"
"etpu_write_dual_32bit_with_param","0005476c","Function","Global","User Defined","12","0"
"evap_canister_100ms","0009cb00","Function","Global","User Defined","2","0"
"evap_canister_200hz","0008a8e0","Function","Global","User Defined","1","0"
"evap_canister_close_command","40001e68","Data Label","Global","User Defined","11","0"
"evap_canister_purge_solenoid_timer","40001e6f","Data Label","Global","User Defined","10","0"
"evap_command_purge_valve???","0009cfb0","Function","Global","User Defined","2","0"
"evap_leak_detection_timers_decrement_100ms","0006dfac","Function","Global","User Defined","1","0"
"evap_purge_flow_state_timer","40001e71","Data Label","Global","User Defined","13","0"
"evap_purge_fuel_mass_b1","40002314","Data Label","Global","User Defined","6","0"
"evap_purge_fuel_mass_b2","40002316","Data Label","Global","User Defined","4","0"
"evap_purge_pressure_voltage","400019c6","Data Label","Global","User Defined","9","0"
"evap_state_control","0009b4e4","Function","Global","User Defined","2","0"
"evap_status_flags","4000230a","Data Label","Global","User Defined","121","0"
"evap_timer_unknown","4000236a","Data Label","Global","User Defined","7","0"
"evap_trim_integrator_update_per_bank?","0009bedc","Function","Global","User Defined","2","0"
"evap_vapor_concentration???","0009c084","Function","Global","User Defined","2","0"
"evap_vent_control_timer","40001e74","Data Label","Global","User Defined","7","0"
"event_timer_1000hz","400015bf","Data Label","Global","User Defined","3","0"
"event_timer_100hz","400015b8","Data Label","Global","User Defined","3","0"
"event_timer_10hz","400015b6","Data Label","Global","User Defined","3","0"
"event_timer_1hz","400015be","Data Label","Global","User Defined","3","0"
"event_timer_200hz","400015c0","Data Label","Global","User Defined","3","0"
"event_timer_20hz","400015ba","Data Label","Global","User Defined","3","0"
"event_timer_2hz","400015bd","Data Label","Global","User Defined","3","0"
"event_timer_333ms","400015bc","Data Label","Global","User Defined","3","0"
"event_timer_50hz","400015b9","Data Label","Global","User Defined","3","0"
"event_timer_5hz","400015bb","Data Label","Global","User Defined","3","0"
"exahust_override_switch_status","400031e4","Data Label","Global","User Defined","4","0"
"exhaust_bypass_override_button_installed","4000297b","Data Label","Global","User Defined","2","0"
"exhaust_flap_control","0005dfd4","Function","Global","User Defined","2","0"
"exhaust_flap_dc","4000162a","Data Label","Global","User Defined","9","0"
"exhaust_flap_flags","40001c4c","Data Label","Global","User Defined","41","0"
"exhaust_flap_output_initialized","40001c4b","Data Label","Global","User Defined","2","0"
"exhaust_flap_state","40001c81","Data Label","Global","User Defined","5","0"
"exhaust_flap_state","40001c00","Data Label","Global","User Defined","8","0"
"exhaust_flow_per_bank","40001d5c","Data Label","Global","User Defined","2","0"
"extract_sign_bit_from_27c5","000bdff8","Function","Global","User Defined","1","0"
"failed_ignition_cyl_count","4000208c","Data Label","Global","User Defined","23","0"
"failed_ignition_cyl_count_prev","400018b9","Data Label","Global","User Defined","2","0"
"fan_engine_bay_enable_delay","40001814","Data Label","Global","User Defined","7","0"
"fan_engine_bay_inhibit","40001c5a","Data Label","Global","User Defined","5","0"
"fan_engine_bay_run_timer","4000181a","Data Label","Global","User Defined","7","0"
"fca_buffer","fffc0080","Data Label","Global","User Defined","16","119"
"fcc_buffer","fffc8080","Data Label","Global","User Defined","5","41"
"fcc_buffer[5].code_and_timestamp","fffc80d0","Data Label","Global","User Defined","17","41"
"filter_evap_pressure_lowpass","0004c230","Function","Global","User Defined","1","0"
"firmware_entry_point","00040004","Data Label","Global","User Defined","0","0"
"flags_unknown","40001fe0","Data Label","Global","User Defined","162","0"
"flash_driver_init","40002aa8","Data Label","Global","User Defined","2","0"
"flash_erase","0005a968","Function","Global","User Defined","5","0"
"flash_erase_memory_controller_unknown","000d4dd0","Function","Global","User Defined","2","0"
"FLASH_HLR","c3f88008","Data Label","Global","User Defined","3","0"
"FLASH_HSR","c3f88014","Data Label","Global","User Defined","3","0"
"FLASH_LMLR","c3f88004","Data Label","Global","User Defined","6","0"
"FLASH_MCR","c3f88000","Data Label","Global","User Defined","3","0"
"FLASH_MLSR","c3f88010","Data Label","Global","User Defined","6","0"
"FLASH_SLMLR","c3f8800c","Data Label","Global","User Defined","6","0"
"flash_unlock_sectors","0005afac","Function","Global","User Defined","2","0"
"flash_write","0005b578","Function","Global","User Defined","5","0"
"flash_write_cod_data","0005b9cc","Function","Global","User Defined","1","0"
"flexcan_01e0","fffc01e0","Data Label","Global","User Defined","12","119"
"flexcan_a_ctrl_reg","fffc0004","Data Label","Global","User Defined","1","0"
"flexcan_a_freerun_timer","fffc0008","Data Label","Global","User Defined","38","0"
"flexcan_a_interrupt","000b9488","Function","Global","User Defined","1","0"
"flexcan_a_interrupt","000b8f70","Function","Global","User Defined","2","0"
"flexcan_a_interrupt_reg_flag_high","fffc002c","Data Label","Global","User Defined","1","0"
"flexcan_a_interrupt_reg_flag_low","fffc0030","Data Label","Global","User Defined","69","0"
"flexcan_a_mcr","fffc0000","Data Label","Global","User Defined","10","0"
"flexcan_a_obd_send_messages","000b4f64","Function","Global","User Defined","21","0"
"flexcan_a_rx_199","000b63c0","Function","Global","User Defined","2","0"
"flexcan_a_rx_202","000b6678","Function","Global","User Defined","1","0"
"flexcan_a_rx_250","000b6b98","Function","Global","User Defined","1","0"
"flexcan_a_rx_303","000b78a4","Function","Global","User Defined","1","0"
"flexcan_a_rx_310_311_x312","000b6e6c","Function","Global","User Defined","1","0"
"flexcan_a_rx_350","000b76ac","Function","Global","User Defined","1","0"
"flexcan_a_rx_407","000b6810","Function","Global","User Defined","1","0"
"flexcan_a_rx_502","000b74c4","Function","Global","User Defined","1","0"
"flexcan_a_rx_50_51_52_53","000b82e0","Function","Global","User Defined","1","0"
"flexcan_a_rx_7df","000b7214","Function","Global","User Defined","1","0"
"flexcan_a_rx_7e0","000b736c","Function","Global","User Defined","1","0"
"flexcan_a_rx_85","000b6994","Function","Global","User Defined","1","0"
"flexcan_a_rx_B7","000b5e48","Function","Global","User Defined","2","0"
"flexcan_a_rx_wheelspeeds","000b7bbc","Function","Global","User Defined","2","0"
"flexcan_a_timer_last_msg","40002714","Data Label","Global","User Defined","38","0"
"flexcan_a_tx_102","000b97ec","Function","Global","User Defined","1","0"
"flexcan_a_tx_102_helper_200hz","0005e814","Function","Global","User Defined","2","0"
"flexcan_a_tx_102_timer","4000162c","Data Label","Global","User Defined","3","0"
"flexcan_a_tx_114","000b9244","Function","Global","User Defined","1","0"
"flexcan_a_tx_400","000b9674","Function","Global","User Defined","1","0"
"flexcan_a_tx_403","000b9714","Function","Global","User Defined","1","0"
"flexcan_a_tx_503","000b9a80","Function","Global","User Defined","1","0"
"flexcan_a_tx_7a0","000b907c","Function","Global","User Defined","1","0"
"flexcan_a_tx_d2_100hz","000b9c40","Function","Global","User Defined","1","0"
"flexcan_a_unused_buffer8","000b71fc","Function","Global","User Defined","1","0"
"flexcan_build_telemetry_message2???","000b41a0","Function","Global","User Defined","1","0"
"flexcan_build_telemetry_message???","000b3d4c","Function","Global","User Defined","1","0"
"flexcan_c_350_data_unknown","40002780","Data Label","Global","User Defined","2","7"
"flexcan_c_350_data_unknown","40002728","Data Label","Global","User Defined","2","7"
"flexcan_c_diag???","000b4634","Function","Global","User Defined","3","0"
"flexcan_c_flag_interrupt_reg_low","fffc8030","Data Label","Global","User Defined","15","0"
"flexcan_c_interrupt","000ba810","Function","Global","User Defined","1","0"
"flexcan_c_rx_350_aux","000ba618","Function","Global","User Defined","1","0"
"flexcan_c_rx_520","000ba268","Function","Global","User Defined","1","0"
"flexcan_c_rx_521","000ba428","Function","Global","User Defined","1","0"
"flexcan_c_tx_351","000b3bd0","Function","Global","User Defined","1","0"
"flexcan_c_tx_351_redirect","000b4f08","Function","Global","User Defined","1","0"
"flexcan_c_tx_351_redirect2","000b3d00","Function","Global","User Defined","2","0"
"flexcan_c_tx_351_unknown","000b3aa0","Function","Global","User Defined","1","0"
"flexcan_counters_scheduler_tick","000b42c4","Function","Global","User Defined","10","0"
"flexcan_diagnostics_tx","000b4f38","Function","Global","User Defined","1","0"
"flexcan_flags_unknown","400029e0","Data Label","Global","User Defined","158","0"
"flexcan_frame_len","4000271c","Data Label","Global","User Defined","4","0"
"flexcan_frame_len_calc???","000b9bd0","Function","Global","User Defined","3","0"
"flexcan_mesg_0xb7_is_7byte","4000285a","Data Label","Global","User Defined","7","0"
"flexcan_msg_buffer_303","fffc0150","Data Label","Global","User Defined","15","119"
"flexcan_timer_???","40001639","Data Label","Global","User Defined","6","0"
"flexcan_timeslot_timer","4000185d","Data Label","Global","User Defined","4","9"
"flexcan_tx_from_queue_0x351","000b4df8","Function","Global","User Defined","4","0"
"flexcan_tx_from_queue_helper","000b4edc","Function","Global","User Defined","1","0"
"flow_offset_car_moving","40001f6c","Data Label","Global","User Defined","3","0"
"FMPLL_SYNCR","c3f80000","Data Label","Global","User Defined","20","0"
"FMPLL_SYNCSR","c3f80004","Data Label","Global","User Defined","1","0"
"freeram_counter","0004300c","Function","Global","User Defined","1","0"
"freeram_fill_0x55","00042fc4","Function","Global","User Defined","1","0"
"freeRamBoundaryLatched","400017e8","Data Label","Global","User Defined","2","0"
"freeRamEstimateScaled","400017ec","Data Label","Global","User Defined","2","0"
"freeRamScanPtr","400017f0","Data Label","Global","User Defined","10","0"
"freeze_frame_dtc","40001e24","Data Label","Global","User Defined","2","0"
"freeze_frame_dtc_config","40001e28","Data Label","Global","User Defined","2","0"
"freeze_frame_mil_priority","40004a8e","Data Label","Global","User Defined","7","0"
"fuel_consumed_cumulative","40004290","Data Label","Global","User Defined","9","1"
"fuel_cut_inhibit_timer","40001812","Data Label","Global","User Defined","8","0"
"fuel_diag_airflow_precat_bank1","400023f8","Data Label","Global","User Defined","4","0"
"fuel_diag_airflow_precat_bank2","400023fa","Data Label","Global","User Defined","4","0"
"fuel_economy_avg","40001ca6","Data Label","Global","User Defined","3","0"
"fuel_economy_factor","40001c9e","Data Label","Global","User Defined","5","0"
"fuel_economy_factor_smoothed","40004bd4","Data Label","Global","User Defined","9","0"
"fuel_economy_instantaneous","40001ca8","Data Label","Global","User Defined","3","0"
