"Name","Location","Type","Data Type","EOL Comment"
"CAL_knock_octane_scaler_shortterm_multiplier","40008734","Data Label","u8_count","Calibration: knock octane scaler shortterm multiplier."
"CAL_knock_octane_scaler_shortterm_decrement","40008735","Data Label","u8_count","Calibration: knock octane scaler shortterm decrement."
"CAL_cooling_recirc_enable_airtemp","40008737","Data Label","u8_temp_5/8-40c","Calibration: cooling recirc enable airtemp (°C = val*5/8−40)."
"CAL_injtip_overrun_inhibit_timer","40008738","Data Label","u16_time_5ms","Calibration: injector tip-in overrun inhibit timer (ms = val*5)."
"CAL_injtip_overrun_hysteresis_timer","40008750","Data Label","u16_time_5ms","Calibration: injector tip-in overrun hysteresis timer (ms = val*5)."
"CAL_tpssmooth_step_timer","4000875c","Data Label","uint16_t","Calibration: tpssmooth step timer."
"CAL_cooling_recirc_timer","40008760","Data Label","u8_time_s","Calibration: cooling recirc timer (s)."
"CAL_sensor_clutch_engaged_threshold","40008768","Data Label","u16_voltage_5/1023v","Calibration: sensor clutch engaged threshold (V = val*5/1023)."
"CAL_sensor_clutch_disengaged_threshold","4000876a","Data Label","u16_voltage_5/1023v","Calibration: sensor clutch disengaged threshold (V = val*5/1023)."
"CAL_tpssmooth_decrement_comp_gears_manual","4000876d","Data Label","u8_factor_1/255[7]","Calibration: tpssmooth decrement compensation gears manual (val/255; 7-element array)."
"CAL_ecu_engine_running_threshold_unknown","4000877e","Data Label","uint8_t[2]","Calibration: ECU engine running threshold (2-element array)."
"CAL_ecu_vehicle_mode_button_time","40008782","Data Label","u16_time_10ms","Calibration: ECU vehicle mode button time (ms = val*10)."
"CAL_closedloop_activate_timer_o2_check","40008784","Data Label","u16_time_5ms","Calibration: closedloop activate timer O2 check (ms = val*5)."
"CAL_trans_gear_ratio_tour","40008788","Data Label","uint16_t[10]","Calibration: transmission gear ratio tour (10-element array)."
"CAL_closedloop_afr","4000879c","Data Label","u16_afr_1/100","Calibration: closedloop AFR (val/100)."
"CAL_closedloop_o2_sensor_voltage_switching_lean","4000879e","Data Label","u16_voltage_5/1023v","Calibration: closedloop O2 sensor voltage switching lean (V = val*5/1023)."
"CAL_closedloop_o2_sensor_voltage_switch_rich","400087a0","Data Label","u16_voltage_5/1023v","Calibration: closedloop O2 sensor voltage switch rich (V = val*5/1023)."
"CAL_inj_stft_limit","400087a2","Data Label","i16_factor_1/20","Calibration: injector short-term fuel trim limit (val/20)."
"CAL_ign_low_gear_number","400087a8","Data Label","u8_gear","Calibration: ignition low gear number."
"CAL_cooling_engine_bay_fan_enable_delay","400087ac","Data Label","uint16_t","Calibration: cooling engine bay fan enable delay."
"CAL_ac_compressor_engine_speed2","400087ae","Data Label","u8_rspeed_125/4+500rpm[2]","Calibration: A/C compressor engine speed2 (RPM = val*125/4+500; 2-element array)."
"CAL_ac_compressor_runtime_min","400087b0","Data Label","u16_time_5ms","Calibration: A/C compressor runtime minimum (ms = val*5)."
"CAL_cruise_accel_pedal_override_threshold_exit","400087bc","Data Label","u8_factor_1/1023","Calibration: cruise accelerator pedal override threshold exit (val/1023)."
"CAL_cruise_accel_pedal_override_threshold_enter","400087bd","Data Label","u8_factor_1/1023","Calibration: cruise accelerator pedal override threshold enter (val/1023)."
"CAL_ecu_2gr_cylinder_air_mass_mg","400087be","Data Label","u16_mass_mg","Calibration: ECU 2gr cylinder air mass mg (mg)."
"CAL_ecu_2gr_cylinder_air_mass_mg_obd_ii","400087c0","Data Label","u16_mass_mg","Calibration: ECU 2gr cylinder air mass mg OBD-II (mg)."
"CAL_vehicle_moving_speed_min","400087c5","Data Label","u8_speed_kph","Calibration: vehicle moving speed minimum (km/h)."
"CAL_sensor_maf_buffer_size","400087cc","Data Label","uint8_t","Calibration: sensor MAF buffer size."
"CAL_cruise_resume_timer","400087cd","Data Label","u8_time_10ms","Calibration: cruise resume timer (ms = val*10)."
"CAL_injtip_comp_base","400087ce","Data Label","uint8_t","Calibration: injector tip-in compensation base."
"CAL_tps_delta_rate_window_size","400087cf","Data Label","u8_count","Calibration: throttle position delta rate window size."
"CAL_injtip_in_threshold","400087d2","Data Label","u16_factor_1/1023[2]","Calibration: injector tip-in in threshold (val/1023; 2-element array)."
"CAL_injtip_out_threshold","400087d6","Data Label","u16_factor_1/1023[2]","Calibration: injector tip-in out threshold (val/1023; 2-element array)."
"CAL_closedloop_fuel_learn_iat_max","400087dc","Data Label","u8_temp_5/8-40c","Calibration: closedloop fuel learn intake air temp maximum (°C = val*5/8−40)."
"CAL_idle_tps_max_opening","400087e4","Data Label","u16_factor_1/1023","Calibration: idle throttle position maximum opening (val/1023)."
"CAL_injtip_dfco_disable_accel_pedal","400087e6","Data Label","u8_factor_1/1023","Calibration: injector tip-in decel fuel cut-off disable accelerator pedal (val/1023)."
"CAL_injtip_dfco_enable_accel_pedal","400087e7","Data Label","u8_factor_1/1023","Calibration: injector tip-in decel fuel cut-off enable accelerator pedal (val/1023)."
"CAL_cluster_fuel_level_zero_clip_threshold","400087e8","Data Label","u16_volume_1/10gallon","Calibration: cluster fuel level zero clip threshold (gal = val/10)."
"CAL_injtip_dfco_enable_temp","400087ec","Data Label","u8_temp_5/8-40c","Calibration: injector tip-in decel fuel cut-off enable temperature (°C = val*5/8−40)."
"CAL_evap_commanded_purge_unknown","400087fa","Data Label","u16_factor_1/255","Calibration: evaporative commanded purge (val/255)."
"CAL_closedloop_fuel_learn_baro_min","400087fc","Data Label","u16_pressure_mbar","Calibration: closedloop fuel learn baro minimum (mbar)."
"CAL_vvt_pwm_driver_divisor","40008804","Data Label","uint16_t","Calibration: VVT PWM driver divisor."
"CAL_exhaust_flap_sport_mode_enable","40008806","Data Label","bool","Calibration: exhaust flap sport mode enable (boolean flag)."
"CAL_exhaust_flap_tour_mode_enable","40008807","Data Label","bool","Calibration: exhaust flap tour mode enable (boolean flag)."
"CAL_cruise_speed_error_limit","4000880e","Data Label","u8_speed_kph","Calibration: cruise speed error limit (km/h)."
"CAL_vvt_error_gain_startup","40008812","Data Label","u16_factor_1/255","Calibration: VVT error gain startup (val/255)."
"CAL_vvt_integral_gain","40008814","Data Label","uint16_t","Calibration: VVT integral gain."
